year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,5622,4983,10605,,10102,503,10,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,8919,8270,17189,19.31,10102,7087,,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,11317,10598,21915,19.67,14152,7763,,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,11984,11053,23037,,14152,8885,47,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,6362,6070,12432,,4050,8382,37,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,2398,2328,4726,21.1,4050,676,,karnataka_crs_2001,
2001,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,2073,1873,3946,,1731,2215,5,karnataka_crs_2001,
2001,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1101,1053,2154,21.11,1731,423,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,8205,8395,16600,,16034,566,198,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,15467,15631,31098,26.55,16034,15064,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21654,21718,43372,,24453,18919,1791,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20456,20492,40948,21.51,24453,16495,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13449,13323,26772,,8419,18353,1593,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,4989,4861,9850,13.45,8419,1431,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_occurrence,7370,7827,15197,,14945,252,10,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_residence,12765,13314,26079,18.37,14945,11134,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_occurrence,15323,15998,31321,,19470,11851,31,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_residence,15402,16049,31451,18.23,19470,11981,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_occurrence,7953,8171,16124,,4525,11599,21,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_residence,2637,2735,5372,17.58,4525,847,,karnataka_crs_2001,
2001,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3779,3653,7432,,1693,5739,6,karnataka_crs_2001,
