year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,8205,8395,16600,,16034,566,198,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,15467,15631,31098,26.55,16034,15064,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21654,21718,43372,,24453,18919,1791,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20456,20492,40948,21.51,24453,16495,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,13449,13323,26772,,8419,18353,1593,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,4989,4861,9850,13.45,8419,1431,,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,6931,6839,13770,,7766,6004,1131,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,4065,3949,8014,19.94,7766,248,,karnataka_crs_2001,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,7926,7600,15526,,14854,672,238,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,13305,13054,26359,22.63,14854,11505,,karnataka_crs_2002,
