year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4412,3108,7520,,7366,154,99,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5931,4175,10106,8.63,7366,2740,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8824,6001,14825,,10836,3989,615,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,8216,5725,13941,7.32,10836,3105,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4412,2893,7305,,3470,3835,516,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,2285,1550,3835,5.24,3470,365,,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3475,2075,5550,,2804,2746,504,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,1700,1143,2843,7.07,2804,39,,karnataka_crs_2001,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4194,2786,6980,,6786,194,40,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5948,3743,9691,8.32,6786,2905,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8447,5467,13914,,10055,3859,500,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,7923,5112,13035,6.84,10055,2980,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4253,2681,6934,,3269,3665,460,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,1975,1369,3344,4.51,3269,75,,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3215,1912,5127,,2537,2590,452,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,1562,982,2544,6.27,2537,7,,karnataka_crs_2002,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4006,3363,7369,,7132,237,53,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5198,4655,9853,8.41,7132,2721,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8372,6096,14468,,10935,3533,421,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,7938,5879,13817,7.13,10935,2882,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4366,2733,7099,,3803,3296,368,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,2740,1224,3964,5.19,3803,161,,karnataka_crs_2003,
2003,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,2207,868,3075,7.34,3068,7,,karnataka_crs_2003,
