year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,3170,1877,5047,,5033,14,2,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,3829,2241,6070,6.82,5033,1037,,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,4905,2936,7841,7.04,6694,1147,,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,,,,,,,,karnataka_crs_2001,missing_death_side
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,1598,980,2578,,1661,917,4,karnataka_crs_2001,
2001,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,1076,695,1771,7.91,1661,110,,karnataka_crs_2001,
2001,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,649,332,981,,522,459,1,karnataka_crs_2001,
2001,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,371,198,569,5.58,522,47,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4412,3108,7520,,7366,154,99,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5931,4175,10106,8.63,7366,2740,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8824,6001,14825,,10836,3989,615,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,8216,5725,13941,7.32,10836,3105,,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4412,2893,7305,,3470,3835,516,karnataka_crs_2001,
2001,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,2285,1550,3835,5.24,3470,365,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_occurrence,4957,3036,7993,,7980,13,6,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_residence,5441,3662,9103,6.41,7980,1123,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_occurrence,6391,4418,10809,,9673,1136,12,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_residence,6490,4506,10996,6.37,9673,1323,,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_occurrence,1434,1382,2816,,1693,1123,6,karnataka_crs_2001,
2001,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_residence,1049,844,1893,6.19,1693,200,,karnataka_crs_2001,
2001,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,606,938,1544,,807,737,6,karnataka_crs_2001,
2001,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,405,469,874,7.45,807,67,,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_occurrence,990,475,1465,,1438,27,9,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_residence,1313,715,2028,4.3,1438,590,,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_occurrence,1461,860,2321,,1760,561,9,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_residence,1542,889,2431,4.45,1760,671,,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_occurrence,471,385,856,,322,534,0,karnataka_crs_2001,
2001,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_residence,229,174,403,5.41,322,81,,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3475,2075,5550,,2804,2746,504,karnataka_crs_2001,
2001,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,1700,1143,2843,7.07,2804,39,,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_occurrence,4408,2605,7013,,6993,20,7,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_residence,5461,3320,8781,8.19,6993,1788,,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_occurrence,7681,5174,12855,,10921,1934,18,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_residence,7714,5207,12921,7.85,10921,2000,,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_occurrence,3273,2569,5842,,3928,1914,11,karnataka_crs_2001,
2001,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,2253,1887,4140,7.22,3928,212,,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1361,851,2212,,1555,657,5,karnataka_crs_2001,
2001,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1058,652,1710,6.18,1555,155,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,4350,2932,7282,,7206,76,9,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,5517,3592,9109,10.08,7206,1903,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_occurrence,6227,3989,10216,,7945,2271,82,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,6046,3936,9982,8.98,7945,2037,,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,1877,1057,2934,,739,2195,73,karnataka_crs_2001,
2001,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,529,344,873,4.2,739,134,,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1407,706,2113,,154,1959,70,karnataka_crs_2001,
2001,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,131,84,215,1.87,154,61,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,3955,2535,6490,,6417,73,11,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,4282,2754,7036,7.28,6417,619,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,5976,4032,10008,,9357,651,18,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,6046,4068,10114,7.45,9357,757,,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,2021,1497,3518,,2940,578,7,karnataka_crs_2001,
2001,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,1764,1314,3078,7.87,2940,138,,karnataka_crs_2001,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,3744,1555,5299,,5047,252,49,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,4312,1961,6273,7.11,5047,1226,,karnataka_crs_2002,
