document_id,source_record_id,source_title,source_family,source_url,parent_document_id,archive_entry_path,document_label,document_url,document_role,priority_score,file_extension,fetch_status,parse_status,page_count,rendered_page_count,text_char_count,table_count,archive_entry_count,money_amount_count,date_count,procurement_ref_count,location_token_count,review_priority,limitations
mscl_doc_df2ddd1ec2676ebc,mscl_project_ee13937f67873a0f,Multi-Level Car Parking,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/32,,,RFP,https://mangalurusmartcity.net/contents/794321.913642027-42136.2357552402.pdf,rfp,130,.pdf,exists,parsed,3,1,164128,0,0,58,5,56,3,high,
mscl_doc_b36d5b550cf90558,mscl_project_d865a11c5c97b1ea,Redevelopment of Central Market & Fish Market,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/1,,,RFP,https://mangalurusmartcity.net/contents/9128360.93880625-1109525.33460922.pdf,rfp,130,.pdf,exists,parsed,3,1,246966,0,0,48,18,147,5,high,
mscl_doc_d0fc8ff6af0653ca,mscl_project_ee13937f67873a0f,Multi-Level Car Parking,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/32,,,BOQ,https://mangalurusmartcity.net/contents/3105091.56114659-931368.74409913.pdf,boq,100,.pdf,exists,parsed,3,1,190957,0,0,66,6,61,3,high,
mscl_doc_4d57bc9f2addf465,mscl_project_index_4d57bc9f2addf465,Project Catalogue,mscl_live_public_project_index,https://mangalurusmartcity.net/contents/project-catalogue.pdf,,,Project Catalogue,https://mangalurusmartcity.net/contents/project-catalogue.pdf,project_catalogue,95,.pdf,exists,parsed,3,1,2746,0,0,2,0,0,2,medium,
mscl_doc_ce95fc2226c87a35,mscl_project_index_ce95fc2226c87a35,List of Projects,mscl_live_public_project_index,https://mangalurusmartcity.net/contents/project-list-mscl.pdf,,,List of Projects,https://mangalurusmartcity.net/contents/project-list-mscl.pdf,project_list,90,.pdf,exists,parsed,3,1,16909,0,0,2,0,2,11,medium,
mscl_doc_c4cc2a890a19e705,mscl_project_ee13937f67873a0f,Multi-Level Car Parking,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/32,,,DPR,https://mangalurusmartcity.net/contents/7596229.32765457-164556.029954395.pdf,dpr,85,.pdf,exists,parsed,3,1,33842,0,0,2,3,1,7,medium,
mscl_doc_2c3b485d21f74bc8,mscl_project_bfe3749c86e504aa,Smart Road 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/40,,,BOQ,https://mangalurusmartcity.net/contents/1334789.17709309-1251593.34178707.pdf,boq,80,.pdf,exists,parsed,3,1,54355,0,0,4,1,12,2,medium,
mscl_doc_f14e101d8f73c098,mscl_project_fc77aba281b00c6d,Upgradation of Integrated Asset Management and Urban Property Ownership Record (UPOR) Building,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/30,,,BOQ,https://mangalurusmartcity.net/contents/1464578.51001275-94295.147677234.pdf,boq,80,.pdf,exists,parsed,3,1,792571,0,0,16,13,46,2,medium,
mscl_doc_b3f4ed039940723d,mscl_project_aeada954e2b08803,Smart Road 4,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/41,,,BOQ,https://mangalurusmartcity.net/contents/1601567.54385753-192326.422606039.pdf,boq,80,.pdf,exists,parsed,3,1,600329,0,0,6,3,15,5,medium,
mscl_doc_a749a0a26bef1d73,mscl_project_775f00415a9213f8,Smart Road 2,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/39,,,BOQ,https://mangalurusmartcity.net/contents/464132.516861024-1089021.04716946.pdf,boq,80,.pdf,exists,parsed,3,1,918489,0,0,9,3,16,3,medium,
mscl_doc_59e7c14de05aa0c2,mscl_project_2a8926b376b2c786,Implementation of E-Smart School (ICT),mscl_live_public_project_pages,https://mangalurusmartcity.net/project/4,,,BOQ,https://mangalurusmartcity.net/contents/477812.853864307-456591.502363089.pdf,boq,80,.pdf,exists,parsed,2,1,3027,0,0,1,0,6,0,medium,
mscl_doc_0c2300569b83a0da,mscl_project_7e2c672c1d2ce30b,Smart Road 7,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/44,,,BOQ,https://mangalurusmartcity.net/contents/5390958.99341207-208641.800230491.pdf,boq,80,.pdf,exists,parsed,3,1,1419493,0,0,8,3,18,2,medium,
mscl_doc_700925c619509aca,mscl_project_bfe3749c86e504aa,Smart Road 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/40,,,BOQ with estimate,https://mangalurusmartcity.net/contents/5469294.10913461-1120493.65614153.pdf,boq,80,.pdf,exists,parsed,3,1,466453,0,0,9,4,22,4,medium,
