record_id,source_family,source_record_type,source_name,source_publisher,source_url,source_title,source_status,source_observed_date,agency,intervention_name,intervention_domain,procurement_stage,project_status_public,procurement_ref_public,tender_id_public,admin_letter_date,notice_date,bid_due_date,award_date,work_order_date,verified_start_date,verified_completion_date,amount_text_public,amount_band_inr,contractor_public,location_tokens,public_geography_scope,source_documents_named,source_document_links_json,source_evidence_short,date_quality,geocode_quality,lawful_use_boundary,source_limitations,related_record_ids
mscl_project_index_101d54c818e9737a,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/projects?From=COMPLETED,Completed Projects,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,Completed Projects,other_public_intervention_or_notice,completed_project_index_link,completed,,,,,,,,,,,,,,,,[],Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_index_d1010ffb45fa6364,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/projects?From=ONGOING,Ongoing Projects,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,Ongoing Projects,other_public_intervention_or_notice,ongoing_project_index_link,ongoing,,,,,,,,,,,,,,,,[],Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_index_51bfa16665a54af1,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/projects?From=TENDERED,Tendred Projects,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,Tendred Projects,procurement_administration,tendered_project_index_link,tendered,,,,,,,,,,,,,,,,[],Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_index_5e31d917e8bc68e8,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/projects?From=DPR,DPR Stage Projects,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,DPR Stage Projects,other_public_intervention_or_notice,dpr_stage_project_index_link,dpr_stage,,,,,,,,,,,,,,,,[],Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_index_ce95fc2226c87a35,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/contents/project-list-mscl.pdf,List of Projects,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,List of Projects,other_public_intervention_or_notice,public_project_pdf_index_link,project_index_document,,,,,,,,,,,,,,,List of Projects,"[{""label"":""List of Projects"",""url"":""https://mangalurusmartcity.net/contents/project-list-mscl.pdf""}]",Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_index_4d57bc9f2addf465,mscl_live_public_project_index,project_index_link_metadata,Mangaluru Smart City project index,Mangaluru Smart City Limited,https://mangalurusmartcity.net/contents/project-catalogue.pdf,Project Catalogue,fetched_public_html_index_link,2026-06-05,Mangaluru Smart City Limited,Project Catalogue,other_public_intervention_or_notice,public_project_pdf_index_link,project_index_document,,,,,,,,,,,,,,,Project Catalogue,"[{""label"":""Project Catalogue"",""url"":""https://mangalurusmartcity.net/contents/project-catalogue.pdf""}]",Project index link discovered on https://mangalurusmartcity.net/project-list,project_index_link_no_field_dates,no_public_geography_token,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Index link only; linked document or project page was not downloaded or parsed by this fallback.,"{""index_url"":""https://mangalurusmartcity.net/project-list""}"
mscl_project_d865a11c5c97b1ea,mscl_live_public_project_pages,project_detail_metadata,Mangaluru Smart City project page,Mangaluru Smart City Limited,https://mangalurusmartcity.net/project/1,Redevelopment of Central Market & Fish Market,fetched_public_html,2026-06-05,Mangaluru Smart City Limited,Redevelopment of Central Market & Fish Market,market_public_realm,quotation_notice,ongoing,PPP/03/MSCL/2018-19; Number; Title; Category; Evaluation; Type,,,,,,,,,,,,Central Market,site/locality_tokens,document_link|RFP,"[{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/2073606.49112314-1077009.99890648.png""},{""label"":""RFP"",""url"":""https://mangalurusmartcity.net/contents/9128360.93880625-1109525.33460922.pdf""}]","Tender Number PPP/03/MSCL/2018-19 Tender Title Redevelopment of Central Market & Fish Market in Mangaluru city on Design, Build, Finance, Operate and Transfer (DBFOT) Basis through Public Private Partnership (PPP) Description Redevelopment of Central Market & Fish Market in Mangaluru city on Design, Build, Finance, Operate and Transfer (DBFOT) Basis through Public Private Partnership (PPP) Type of Procurement Entity OTHERS Tender Category SERVICES Is this QCBS Tender? NO Type of Quotation LUM...",public_listing_or_notice_status_only_no_verified_field_dates,public_text_tokens_only,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Public HTML page; document bodies were not downloaded or parsed; start/completion/award dates are blank unless explicitly present in page text.,"{""listing_url"":""https://mangalurusmartcity.net/projects?From=ONGOING""}"
mscl_project_7e883d19423fb6a7,mscl_live_public_project_pages,project_detail_metadata,Mangaluru Smart City project page,Mangaluru Smart City Limited,https://mangalurusmartcity.net/project/13,Swimming Pool Complex,fetched_public_html,2026-06-05,Mangaluru Smart City Limited,Swimming Pool Complex,road_transport,completed_project_listing,completed,,,,,,,,,,"rs.; rs,; 24.94 Crores",10_to_100_crore,,,no_public_geography_token,document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|document_link|Drawings|BOQ,"[{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/9488903.99164004-1120408.87916293.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/1113493.2567894-334073.372261314.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/5583458.32656299-72256.7082540862.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/5590155.15055049-376344.169038937.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/468867.072122575-1374171.17977136.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/6765586.91857643-147912.17096292.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/3197992.20804032-872452.710853439.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/9264882.62101304-1123653.96953754.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/5495794.05947393-305719.441547121.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/1302415.60810358-722326.886107538.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/4366897.67724224-148168.646347576.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/2813405.98259745-822755.976175375.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/1804905.67898606-1389220.71787536.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/9254589.63460037-277737.152900394.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/1735873.38614085-501719.389564041.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/4097036.11121375-979828.538324516.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/626453.361765693-961596.003165828.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/7259628.68764048-200210.599889262.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/4382056.13958745-468856.228447967.jpeg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/3308938.43123174-1029647.59180651.jpeg""},{""label"":""Drawings"",""url"":""https://mangalurusmartcity.net/contents/4699921.22831751-128306.215501482.pdf""},{""label"":""BOQ"",""url"":""https://mangalurusmartcity.net/contents/8168468.26028473-105307.035050163.pdf""}]","It is proposed to develop an Olympic size swimming pool along community Level Facilities at Yemmekere ground, Mangaluru which can host international swimming competitions. The proposal includes swimming pool complex with all amenities, development of existing cricket ground to international standards. The complex also includes parking space for 50 cars. Total Project Cost : 24.94 Crores. Mangaluru Smart City Limited, as a part of its original SCP in the sector of Sports Development, has const...",public_listing_or_notice_status_only_no_verified_field_dates,public_text_tokens_only,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Public HTML page; document bodies were not downloaded or parsed; start/completion/award dates are blank unless explicitly present in page text.,"{""listing_url"":""https://mangalurusmartcity.net/projects?From=COMPLETED""}"
mscl_project_90f3d29c46797e36,mscl_live_public_project_pages,project_detail_metadata,Mangaluru Smart City project page,Mangaluru Smart City Limited,https://mangalurusmartcity.net/project/14,Wenlock Hospital Upgradation,fetched_public_html,2026-06-05,Mangaluru Smart City Limited,Wenlock Hospital Upgradation,health_facility,completed_project_listing,completed,,,,,,,,,,Rs. 45 Cr; 45 Crores,10_to_100_crore,,Wenlock Hospital,site/locality_tokens,document_link|DPR,"[{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/7135943.94136963-1278247.42237751.png""},{""label"":""DPR"",""url"":""https://mangalurusmartcity.net/contents/6562101.4389033-739708.455063954.pdf""}]","It is proposed to upgrade historic hospital to retain architectural character and achieve state of the art health care standards. The project envisaged to develop the entire campus of hospital with better access and connectivity, 30 bedded new ICU and Hospital complex with 12 modular OT and 100 bedded post operative ward. Total Project Cost : Rs. 45 Crores. Mangaluru Smart City has emphasize to Upgradation of Wenlock Hospital with providing great facilities and to reach the milestone of healt...",public_listing_or_notice_status_only_no_verified_field_dates,public_text_tokens_only,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Public HTML page; document bodies were not downloaded or parsed; start/completion/award dates are blank unless explicitly present in page text.,"{""listing_url"":""https://mangalurusmartcity.net/projects?From=COMPLETED""}"
mscl_project_6d20e49cd6b8757a,mscl_live_public_project_pages,project_detail_metadata,Mangaluru Smart City project page,Mangaluru Smart City Limited,https://mangalurusmartcity.net/project/15,Retrofitting of Carstreet,fetched_public_html,2026-06-05,Mangaluru Smart City Limited,Retrofitting of Carstreet,civic_building,completed_project_listing,completed,,,,,,,,,,Rs. 4.95 Cr; 4.95 Crores,1_to_10_crore,,Carstreet,site/locality_tokens,document_link|document_link|document_link|document_link|document_link|document_link|document_link|DPR,"[{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/8331649.72641116-451604.15626175.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/5456895.03916395-196883.906599767.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/4255257.23689015-943554.52303282.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/8622730.56927264-561793.497139257.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/1693987.15798463-183184.205449244.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/6658428.64506805-1427776.4030002.jpg""},{""label"":""document_link"",""url"":""https://mangalurusmartcity.net/contents/8538981.7313007-1429128.0407319.jpg""},{""label"":""DPR"",""url"":""https://mangalurusmartcity.net/contents/8136011.34258137-1079358.11871345.pdf""}]","Carstreet is an important heritage landmark and well known activity street of the city. The street is having 13 temples and heritage buildings. The Carstreet is proposed to be developed as a pedestrian friendly street with improved pedestrian facilities, public spaces and landscaping integrating Temples and other religious centers in the vicinity. Total Project Cost : Rs. 4.95 Crores. Retrofitting of Carstreet IMAGES DOCUMENTS DPR",public_listing_or_notice_status_only_no_verified_field_dates,public_text_tokens_only,"Public/source metadata only. Do not treat tender, listing, letter, or notice dates as verified field implementation dates. Do not collect bidder-private, payment, account, complaint-ID, or personal-contact material.",Public HTML page; document bodies were not downloaded or parsed; start/completion/award dates are blank unless explicitly present in page text.,"{""listing_url"":""https://mangalurusmartcity.net/projects?From=COMPLETED""}"
