event_year,event_month_number,event_month_name,event_count
2007,10,Oct,2
2007,11,Nov,1
2007,12,Dec,1
2008,2,Feb,3
2008,6,Jun,6
2008,7,Jul,2
2008,8,Aug,3
2008,9,Sep,2
2009,2,Feb,1
2009,3,Mar,3
2009,6,Jun,3
2009,7,Jul,7
2009,10,Oct,22
2009,11,Nov,3
2010,6,Jun,12
2010,7,Jul,5
2010,8,Aug,1
2010,10,Oct,1
2011,3,Mar,2
2011,4,Apr,1
2011,5,May,1
2011,6,Jun,2
2011,7,Jul,3
2011,8,Aug,2
2011,10,Oct,1
2011,12,Dec,1
2012,1,Jan,1
2012,2,Feb,3
2012,3,Mar,1
2012,4,Apr,3
2012,5,May,3
2012,6,Jun,4
2012,7,Jul,2
2012,8,Aug,3
2012,9,Sep,3
2012,11,Nov,2
2012,12,Dec,1
2013,2,Feb,1
2013,3,Mar,1
2013,4,Apr,1
2013,5,May,1
2013,6,Jun,10
2013,7,Jul,3
2013,8,Aug,4
2013,9,Sep,1
2013,10,Oct,1
2013,11,Nov,3
2014,2,Feb,1
2014,4,Apr,1
2014,5,May,2
2014,6,Jun,3
2014,7,Jul,3
2014,8,Aug,1
2014,9,Sep,5
2014,10,Oct,4
2014,11,Nov,1
2015,3,Mar,2
2015,4,Apr,6
2015,5,May,4
2015,6,Jun,11
2015,7,Jul,2
2015,8,Aug,2
2015,9,Sep,2
2016,2,Feb,1
2016,3,Mar,2
2016,4,Apr,4
2016,5,May,2
2016,6,Jun,8
2016,7,Jul,3
2016,8,Aug,1
2016,10,Oct,1
2016,11,Nov,2
2017,2,Feb,1
2017,3,Mar,1
2017,4,Apr,1
2017,5,May,3
2017,6,Jun,5
2017,7,Jul,3
2017,8,Aug,6
2017,9,Sep,1
2017,10,Oct,2
2017,11,Nov,1
2018,4,Apr,3
2018,5,May,8
2018,6,Jun,22
2018,7,Jul,7
2018,8,Aug,34
2018,9,Sep,12
2018,10,Oct,6
2018,11,Nov,4
2018,12,Dec,1
2019,1,Jan,3
2019,2,Feb,6
2019,3,Mar,2
2019,4,Apr,7
2019,5,May,13
2019,6,Jun,21
2019,7,Jul,23
2019,8,Aug,69
2019,9,Sep,21
2019,10,Oct,30
2019,11,Nov,4
2019,12,Dec,2
2020,1,Jan,6
2020,3,Mar,2
2020,4,Apr,3
2020,5,May,11
2020,6,Jun,9
2020,7,Jul,11
2020,8,Aug,24
2020,9,Sep,13
2020,10,Oct,11
2020,11,Nov,6
2020,12,Dec,3
2021,1,Jan,5
2021,2,Feb,2
2021,3,Mar,3
2021,4,Apr,4
2021,5,May,8
2021,6,Jun,8
2021,7,Jul,19
2021,8,Aug,6
2021,9,Sep,2
2021,10,Oct,4
2021,11,Nov,7
2022,1,Jan,1
2022,2,Feb,1
2022,3,Mar,4
2022,5,May,5
2022,6,Jun,8
2022,7,Jul,24
2022,8,Aug,5
2022,9,Sep,2
2022,10,Oct,3
2022,11,Nov,4
2022,12,Dec,8
2023,1,Jan,14
2023,2,Feb,8
2023,3,Mar,25
2023,4,Apr,19
2023,5,May,10
2023,6,Jun,17
2023,7,Jul,48
2023,8,Aug,22
2023,9,Sep,8
2023,10,Oct,11
2023,11,Nov,6
2023,12,Dec,5
2024,1,Jan,5
2024,2,Feb,2
2024,3,Mar,9
2024,4,Apr,21
2024,5,May,47
2024,6,Jun,33
2024,7,Jul,53
2024,8,Aug,27
2024,9,Sep,14
2024,10,Oct,20
2024,11,Nov,7
2024,12,Dec,15
2025,1,Jan,6
2025,2,Feb,13
2025,3,Mar,30
2025,4,Apr,29
2025,5,May,87
2025,6,Jun,60
2025,7,Jul,71
2025,8,Aug,40
2025,9,Sep,12
2025,10,Oct,23
2025,11,Nov,13
2025,12,Dec,15
2026,1,Jan,5
2026,2,Feb,12
2026,3,Mar,17
2026,4,Apr,19
2026,5,May,36
2026,6,Jun,6
