place_label,event_family,event_family_label,event_count,place_event_count
Hampankatta,health,Health,181,367
Hampankatta,road_safety,Road safety,60,367
Hampankatta,civic_infrastructure,Civic work,54,367
Hampankatta,fire_emergency,Fire and emergency,23,367
Hampankatta,flood_weather,Rain and weather,13,367
Hampankatta,crime_public_safety,Public safety,9,367
Hampankatta,governance,Governance,8,367
Hampankatta,public_order,Public order,5,367
Hampankatta,education,Education,4,367
Hampankatta,transport_service,Transport service,4,367
Hampankatta,communal_tension_or_discrimination,Communal tension,2,367
Hampankatta,building_workplace_safety,Building and workplace safety,1,367
Hampankatta,coastal_environment,Coastal environment,1,367
Hampankatta,communal_discrimination_rights,Communal rights,1,367
Hampankatta,policy_context_other,Other policy context,1,367
Surathkal,road_safety,Road safety,101,350
Surathkal,civic_infrastructure,Civic work,61,350
Surathkal,health,Health,42,350
Surathkal,flood_weather,Rain and weather,29,350
Surathkal,governance,Governance,22,350
Surathkal,other_public_news_event,Other public news,18,350
Surathkal,crime_public_safety,Public safety,15,350
Surathkal,education,Education,15,350
Surathkal,fire_emergency,Fire and emergency,11,350
Surathkal,communal_tension_or_discrimination,Communal tension,7,350
Surathkal,policy_context_other,Other policy context,7,350
Surathkal,coastal_environment,Coastal environment,6,350
Surathkal,public_order,Public order,6,350
Surathkal,transport_service,Transport service,6,350
Surathkal,public_event,Public events,3,350
Surathkal,building_workplace_safety,Building and workplace safety,1,350
Kankanady,health,Health,151,332
Kankanady,road_safety,Road safety,78,332
Kankanady,civic_infrastructure,Civic work,36,332
Kankanady,fire_emergency,Fire and emergency,13,332
Kankanady,education,Education,11,332
Kankanady,governance,Governance,11,332
Kankanady,crime_public_safety,Public safety,9,332
Kankanady,other_public_news_event,Other public news,6,332
Kankanady,flood_weather,Rain and weather,5,332
Kankanady,transport_service,Transport service,4,332
Kankanady,public_order,Public order,3,332
Kankanady,communal_tension_or_discrimination,Communal tension,2,332
Kankanady,public_event,Public events,2,332
Kankanady,policy_context_other,Other policy context,1,332
Kadri,road_safety,Road safety,87,301
Kadri,health,Health,71,301
Kadri,civic_infrastructure,Civic work,36,301
Kadri,flood_weather,Rain and weather,24,301
Kadri,fire_emergency,Fire and emergency,16,301
Kadri,public_event,Public events,14,301
Kadri,education,Education,11,301
Kadri,other_public_news_event,Other public news,11,301
Kadri,crime_public_safety,Public safety,8,301
Kadri,governance,Governance,8,301
Kadri,communal_tension_or_discrimination,Communal tension,6,301
Kadri,coastal_environment,Coastal environment,4,301
Kadri,policy_context_other,Other policy context,3,301
Kadri,communal_discrimination_rights,Communal rights,1,301
Kadri,public_order,Public order,1,301
Pumpwell,road_safety,Road safety,84,282
Pumpwell,civic_infrastructure,Civic work,73,282
Pumpwell,health,Health,37,282
Pumpwell,flood_weather,Rain and weather,28,282
Pumpwell,governance,Governance,13,282
Pumpwell,fire_emergency,Fire and emergency,12,282
Pumpwell,public_order,Public order,11,282
Pumpwell,crime_public_safety,Public safety,8,282
Pumpwell,education,Education,5,282
Pumpwell,other_public_news_event,Other public news,5,282
Pumpwell,communal_tension_or_discrimination,Communal tension,2,282
Pumpwell,transport_service,Transport service,2,282
Pumpwell,coastal_environment,Coastal environment,1,282
Pumpwell,policy_context_other,Other policy context,1,282
