metric_key,event_family,event_family_label,event_count,family_event_count,share_with_metric
injuries,road_safety,Road safety,3928,8025,0.4894704049844237
deaths,road_safety,Road safety,3173,8025,0.3953894080996885
deaths,health,Health,1205,3837,0.31404743289027887
money_inr_estimate,road_safety,Road safety,740,8025,0.09221183800623053
cases,health,Health,635,3837,0.16549387542350794
money_inr_estimate,civic_infrastructure,Civic work,518,2214,0.23396567299006324
cases,road_safety,Road safety,466,8025,0.05806853582554517
money_inr_estimate,health,Health,431,3837,0.1123273390669794
injuries,health,Health,308,3837,0.0802710450873078
deaths,fire_emergency,Fire and emergency,256,1408,0.18181818181818182
money_inr_estimate,flood_weather,Rain and weather,243,1712,0.1419392523364486
money_inr_estimate,fire_emergency,Fire and emergency,241,1408,0.17116477272727273
arrests,road_safety,Road safety,221,8025,0.027538940809968847
vehicles,road_safety,Road safety,212,8025,0.026417445482866043
arrests,crime_public_safety,Public safety,210,663,0.3167420814479638
injuries,fire_emergency,Fire and emergency,187,1408,0.1328125
deaths,civic_infrastructure,Civic work,186,2214,0.08401084010840108
deaths,flood_weather,Rain and weather,164,1712,0.09579439252336448
hospitalized,road_safety,Road safety,160,8025,0.019937694704049845
money_inr_estimate,governance,Governance,159,863,0.1842410196987254
deaths,education,Education,144,922,0.1561822125813449
deaths,crime_public_safety,Public safety,144,663,0.2171945701357466
hospitalized,health,Health,136,3837,0.035444357571019026
money_inr_estimate,crime_public_safety,Public safety,128,663,0.19306184012066366
deaths,governance,Governance,94,863,0.10892236384704519
rainfall_mm,flood_weather,Rain and weather,90,1712,0.052570093457943924
arrests,governance,Governance,89,863,0.10312862108922363
injuries,civic_infrastructure,Civic work,83,2214,0.037488708220415536
roads_affected,road_safety,Road safety,80,8025,0.009968847352024923
injuries,flood_weather,Rain and weather,74,1712,0.04322429906542056
attendees,education,Education,73,922,0.07917570498915401
money_inr_estimate,education,Education,71,922,0.0770065075921909
arrests,health,Health,67,3837,0.01746155850925202
attendees,health,Health,64,3837,0.01667969768047954
cases,crime_public_safety,Public safety,64,663,0.09653092006033183
arrests,civic_infrastructure,Civic work,62,2214,0.028003613369467027
arrests,fire_emergency,Fire and emergency,62,1408,0.04403409090909091
deaths,other_public_news_event,Other public news,62,452,0.13716814159292035
attendees,road_safety,Road safety,57,8025,0.007102803738317757
affected_people,flood_weather,Rain and weather,55,1712,0.03212616822429906
money_inr_estimate,transport_service,Transport service,55,394,0.13959390862944163
attendees,civic_infrastructure,Civic work,50,2214,0.022583559168925023
cases,governance,Governance,49,863,0.056778679026651215
deaths,public_order,Public order,49,368,0.1331521739130435
injuries,crime_public_safety,Public safety,48,663,0.07239819004524888
arrests,education,Education,45,922,0.04880694143167028
money_inr_estimate,public_order,Public order,44,368,0.11956521739130435
cases,fire_emergency,Fire and emergency,40,1408,0.028409090909090908
affected_people,health,Health,39,3837,0.010164190774042221
money_inr_estimate,other_public_news_event,Other public news,39,452,0.08628318584070796
cases,civic_infrastructure,Civic work,38,2214,0.017163504968383016
affected_people,civic_infrastructure,Civic work,38,2214,0.017163504968383016
injuries,governance,Governance,36,863,0.04171494785631518
deaths,coastal_environment,Coastal environment,35,183,0.1912568306010929
deaths,communal_tension_or_discrimination,Communal tension,35,161,0.21739130434782608
injuries,education,Education,33,922,0.03579175704989154
affected_people,road_safety,Road safety,33,8025,0.00411214953271028
