event_month,event_year,family_group,family_group_label,source_label,event_count
2007-05,2007,road_safety,Road safety,Daijiworld,1
2007-09,2007,civic_infrastructure,Civic work,Daijiworld,1
2007-09,2007,fire_emergency,Fire and emergency,Daijiworld,1
2007-09,2007,road_safety,Road safety,Daijiworld,3
2007-10,2007,civic_infrastructure,Civic work,Daijiworld,1
2007-10,2007,education,Education,Daijiworld,2
2007-10,2007,health,Health,Daijiworld,2
2007-10,2007,flood_weather,Rain and weather,Daijiworld,2
2007-10,2007,road_safety,Road safety,Daijiworld,2
2007-11,2007,civic_infrastructure,Civic work,Daijiworld,2
2007-11,2007,education,Education,Daijiworld,1
2007-11,2007,fire_emergency,Fire and emergency,Daijiworld,2
2007-11,2007,other,Other,Daijiworld,1
2007-11,2007,flood_weather,Rain and weather,Daijiworld,1
2007-11,2007,road_safety,Road safety,Daijiworld,10
2007-12,2007,fire_emergency,Fire and emergency,Daijiworld,1
2007-12,2007,other,Other,Daijiworld,3
2007-12,2007,flood_weather,Rain and weather,Daijiworld,1
2007-12,2007,road_safety,Road safety,Daijiworld,8
2008-01,2008,civic_infrastructure,Civic work,Daijiworld,1
2008-01,2008,fire_emergency,Fire and emergency,Daijiworld,1
2008-01,2008,other,Other,Daijiworld,1
2008-01,2008,road_safety,Road safety,Daijiworld,8
2008-02,2008,civic_infrastructure,Civic work,Daijiworld,1
2008-02,2008,education,Education,Daijiworld,1
2008-02,2008,governance,Governance,Daijiworld,1
2008-02,2008,health,Health,Daijiworld,2
2008-02,2008,other,Other,Daijiworld,1
2008-02,2008,crime_public_safety,Public safety,Daijiworld,2
2008-02,2008,flood_weather,Rain and weather,Daijiworld,3
2008-02,2008,road_safety,Road safety,Daijiworld,2
2008-03,2008,education,Education,Daijiworld,5
2008-03,2008,fire_emergency,Fire and emergency,Daijiworld,5
2008-03,2008,crime_public_safety,Public safety,Daijiworld,1
2008-03,2008,road_safety,Road safety,Daijiworld,3
2008-04,2008,civic_infrastructure,Civic work,Daijiworld,2
2008-04,2008,fire_emergency,Fire and emergency,Daijiworld,3
2008-04,2008,road_safety,Road safety,Daijiworld,1
2008-05,2008,education,Education,Daijiworld,1
2008-05,2008,fire_emergency,Fire and emergency,Daijiworld,1
2008-05,2008,other,Other,Daijiworld,1
2008-05,2008,crime_public_safety,Public safety,Daijiworld,1
2008-05,2008,road_safety,Road safety,Daijiworld,5
2008-06,2008,civic_infrastructure,Civic work,Daijiworld,1
2008-06,2008,health,Health,Daijiworld,2
2008-06,2008,other,Other,Daijiworld,1
2008-06,2008,crime_public_safety,Public safety,Daijiworld,8
2008-06,2008,flood_weather,Rain and weather,Daijiworld,6
2008-06,2008,road_safety,Road safety,Daijiworld,7
2008-07,2008,education,Education,Daijiworld,1
2008-07,2008,fire_emergency,Fire and emergency,Daijiworld,2
2008-07,2008,other,Other,Daijiworld,1
2008-07,2008,crime_public_safety,Public safety,Daijiworld,1
2008-07,2008,flood_weather,Rain and weather,Daijiworld,2
2008-07,2008,road_safety,Road safety,Daijiworld,7
2008-08,2008,civic_infrastructure,Civic work,Daijiworld,2
2008-08,2008,education,Education,Daijiworld,3
2008-08,2008,fire_emergency,Fire and emergency,Daijiworld,2
2008-08,2008,other,Other,Daijiworld,1
2008-08,2008,crime_public_safety,Public safety,Daijiworld,1
2008-08,2008,flood_weather,Rain and weather,Daijiworld,3
2008-08,2008,road_safety,Road safety,Daijiworld,10
2008-09,2008,civic_infrastructure,Civic work,Daijiworld,1
2008-09,2008,education,Education,Daijiworld,1
2008-09,2008,fire_emergency,Fire and emergency,Daijiworld,3
2008-09,2008,health,Health,Daijiworld,1
2008-09,2008,other,Other,Daijiworld,3
2008-09,2008,flood_weather,Rain and weather,Daijiworld,2
2008-09,2008,road_safety,Road safety,Daijiworld,5
2008-10,2008,civic_infrastructure,Civic work,Daijiworld,1
2008-10,2008,fire_emergency,Fire and emergency,Daijiworld,1
2008-10,2008,governance,Governance,Daijiworld,1
2008-10,2008,other,Other,Daijiworld,2
2008-10,2008,crime_public_safety,Public safety,Daijiworld,1
2008-10,2008,road_safety,Road safety,Daijiworld,5
2008-11,2008,civic_infrastructure,Civic work,Daijiworld,3
2008-11,2008,education,Education,Daijiworld,1
2008-11,2008,fire_emergency,Fire and emergency,Daijiworld,2
2008-11,2008,road_safety,Road safety,Daijiworld,6
2008-12,2008,civic_infrastructure,Civic work,Daijiworld,2
