event_cluster_id,event_year,event_month,event_family_label,family_group_label,topic_tag_list,topic_label,is_primary_family,topic_sort
NREV_1D5A2E196F625B,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_DA5ED024CAE108,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_2DA8CCD286D240,2007,2007-12,Fire and emergency,Fire and emergency,Fire and emergency,Fire and emergency,True,5
NREV_D70C0F9EE50EB5,2007,2007-12,Rain and weather,Rain and weather,Rain and weather,Rain and weather,True,1
NREV_D3911CE84E59ED,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_91C1A82B63BE49,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_838911D77415BE,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_07234F76DD1ECE,2007,2007-12,Transport service,Other,Transport,Transport,False,4
NREV_96634FB4C2A6A5,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_B87ED2E2DB2BBF,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_CE7FEDDEC5408D,2007,2007-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_5C26A49C20607A,2007,2007-12,Transport service,Other,Transport,Transport,False,4
NREV_9AA9096AED077F,2007,2007-12,Transport service,Other,Transport,Transport,False,4
NREV_6FEF9216536B63,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_BC8528DCF2BE0C,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_3EACBD14AA7C84,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_7B1F2A7D7F192A,2007,2007-11,Transport service,Other,Transport,Transport,False,4
NREV_A4E6CC5D0E9700,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_1096D2F4324413,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_ED70655008E245,2007,2007-11,Fire and emergency,Fire and emergency,Fire and emergency,Fire and emergency,True,5
NREV_454DB9D5CBDEAF,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_B2B31F95F031DB,2007,2007-11,Fire and emergency,Fire and emergency,Fire and emergency,Fire and emergency,True,5
NREV_B54E8BD286C9DA,2007,2007-11,Rain and weather,Rain and weather,Rain and weather,Rain and weather,True,1
NREV_B7ED77F8AA58D9,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_5896ADAAB39454,2007,2007-11,Civic work,Civic work,Rain and weather|Civic work,Rain and weather,False,1
NREV_5896ADAAB39454,2007,2007-11,Civic work,Civic work,Rain and weather|Civic work,Civic work,True,3
NREV_E87B3597EF962A,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_55A2F2D0D43699,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_8876634E93651E,2007,2007-11,Road safety,Road safety,Road safety,Road safety,True,0
NREV_F1765B0D3CC85D,2007,2007-11,Civic work,Civic work,Civic work,Civic work,True,3
NREV_B829B6654F47D8,2007,2007-11,Education,Education,Education,Education,True,6
NREV_28AFADC920CAE5,2007,2007-10,Road safety,Road safety,Road safety,Road safety,True,0
NREV_2AE934F2A49818,2007,2007-10,Education,Education,Education,Education,True,6
NREV_9BA5427F15F04C,2007,2007-10,Civic work,Civic work,Civic work,Civic work,True,3
NREV_96E86D4E5ECEEE,2007,2007-10,Health,Health,Health,Health,True,2
NREV_6B1254AB1E6D6C,2007,2007-10,Health,Health,Health,Health,True,2
NREV_6D2FBE4A58FF2C,2007,2007-10,Rain and weather,Rain and weather,Rain and weather,Rain and weather,True,1
NREV_5BD00A1204CD99,2007,2007-10,Rain and weather,Rain and weather,Rain and weather,Rain and weather,True,1
NREV_FBD23406DCB4F2,2007,2007-10,Road safety,Road safety,Road safety,Road safety,True,0
NREV_0D85EED7545A8A,2007,2007-10,Education,Education,Education,Education,True,6
NREV_E5EA34FC9CE191,2007,2007-09,Civic work,Civic work,Civic work,Civic work,True,3
NREV_8B1A37F12329E7,2007,2007-09,Road safety,Road safety,Road safety,Road safety,True,0
NREV_5476DA89CE87FE,2007,2007-09,Fire and emergency,Fire and emergency,Fire and emergency,Fire and emergency,True,5
NREV_23CCE4E572B843,2007,2007-09,Road safety,Road safety,Road safety,Road safety,True,0
NREV_CC52ED4533701E,2007,2007-09,Road safety,Road safety,Road safety,Road safety,True,0
NREV_063A214B8330CF,2007,2007-05,Road safety,Road safety,Road safety,Road safety,True,0
NREV_C2490BF052BE44,2008,2008-12,Road safety,Road safety,Road safety,Road safety,True,0
NREV_FB2D7BEE375DD6,2008,2008-12,Road safety,Road safety,Road safety,Road safety,True,0
