event_year,source_label,event_count
2007,Daijiworld,45
2008,Daijiworld,166
2009,Daijiworld,182
2010,Daijiworld,246
2011,Daijiworld,284
2012,Daijiworld,390
2013,Daijiworld,486
2014,Daijiworld,504
2015,Daijiworld,601
2016,Daijiworld,648
2016,Mangalorean.com,2
2017,Daijiworld,649
2017,Mangalorean.com,1
2017,Other sources,2
2018,Daijiworld,688
2018,Mangalorean.com,637
2019,Daijiworld,856
2019,Mangalorean.com,1280
2020,Daijiworld,858
2020,Mangalorean.com,1464
2021,Daijiworld,808
2021,Mangalore Today,1
2021,Namma Kudla News,20
2021,Other sources,1
2022,Daijiworld,1003
2022,Namma Kudla News,164
2022,Other sources,3
2023,Daijiworld,944
2023,Mangalore Today,511
2023,Mangalorean.com,13
2023,Namma Kudla News,1705
2023,Other sources,1
2024,Daijiworld,1019
2024,Mangalore Today,820
2024,Mangalorean.com,81
2024,Namma Kudla News,761
2024,Other sources,7
2024,Suddi9,28
2025,Daijiworld,983
2025,Mangalore Today,986
2025,Mangalorean.com,163
2025,Namma Kudla English,13
2025,Namma Kudla News,533
2025,Other sources,6
2025,Suddi9,11
2026,Coastal Digest,42
2026,Daijiworld,465
2026,Mangalore Today,221
2026,Mangalorean.com,117
2026,Namma Kudla English,8
2026,Namma Kudla News,140
2026,Other sources,58
2026,Suddi9,1
