topic_label,tagged_record_count,primary_record_count,share_of_archive,topic_sort
Road safety,8430,8025,0.39000693962526023,0
Rain and weather,3859,1712,0.17853342586167015,1
Health,5938,3837,0.27471663196854035,2
Civic work,4379,2214,0.20259079343048808,3
Transport,2332,0,0.1078880407124682,4
Fire and emergency,3002,1408,0.1388850335415221,5
Education,2065,922,0.09553550774924821,6
Public safety,1753,663,0.08110108720795743,7
Governance,3118,863,0.14425167707610456,8
Coastal environment,688,183,0.03182974786028221,9
Other public news,451,451,0.020865139949109414,10
Communal tension,61,61,0.0028221142724959517,10
